Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,3,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,3,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,3,symmetric,0.01,0.3961562361934233
75% Corpus,3,symmetric,0.31,0.4028367221086482
75% Corpus,3,symmetric,0.61,0.3982917329307759
75% Corpus,3,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,3,symmetric,symmetric,0.40256782522834716
75% Corpus,3,asymmetric,0.01,0.40770366685795806
75% Corpus,3,asymmetric,0.31,0.41171385108110614
75% Corpus,3,asymmetric,0.61,0.4222208775445915
75% Corpus,3,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,3,asymmetric,symmetric,0.4236782333749532
75% Corpus,4,0.01,0.01,0.3875928452787535
75% Corpus,4,0.01,0.31,0.3897361043525104
75% Corpus,4,0.01,0.61,0.38004822750306233
75% Corpus,4,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,4,0.01,symmetric,0.3853036457347692
75% Corpus,4,0.31,0.01,0.39056395213441647
75% Corpus,4,0.31,0.31,0.403051685137722
75% Corpus,4,0.31,0.61,0.4081667326648743
75% Corpus,4,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,4,0.31,symmetric,0.3953590823111099
75% Corpus,4,0.61,0.01,0.43585116750719805
75% Corpus,4,0.61,0.31,0.4411559343392165
75% Corpus,4,0.61,0.61,0.42379296071095085
75% Corpus,4,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,4,0.61,symmetric,0.4326659136521993
75% Corpus,4,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,4,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,4,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,4,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,4,symmetric,0.01,0.3961562361934233
75% Corpus,4,symmetric,0.31,0.4028367221086482
75% Corpus,4,symmetric,0.61,0.3982917329307759
75% Corpus,4,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,4,symmetric,symmetric,0.40256782522834716
75% Corpus,4,asymmetric,0.01,0.40770366685795806
75% Corpus,4,asymmetric,0.31,0.41171385108110614
75% Corpus,4,asymmetric,0.61,0.4222208775445915
75% Corpus,4,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,4,asymmetric,symmetric,0.4236782333749532
75% Corpus,5,0.01,0.01,0.3875928452787535
75% Corpus,5,0.01,0.31,0.3897361043525104
75% Corpus,5,0.01,0.61,0.38004822750306233
75% Corpus,5,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,5,0.01,symmetric,0.3853036457347692
75% Corpus,5,0.31,0.01,0.39056395213441647
75% Corpus,5,0.31,0.31,0.403051685137722
75% Corpus,5,0.31,0.61,0.4081667326648743
75% Corpus,5,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,5,0.31,symmetric,0.3953590823111099
75% Corpus,5,0.61,0.01,0.43585116750719805
75% Corpus,5,0.61,0.31,0.4411559343392165
75% Corpus,5,0.61,0.61,0.42379296071095085
75% Corpus,5,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,5,0.61,symmetric,0.4326659136521993
75% Corpus,5,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,5,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,5,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,5,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,5,symmetric,0.01,0.3961562361934233
75% Corpus,5,symmetric,0.31,0.4028367221086482
75% Corpus,5,symmetric,0.61,0.3982917329307759
75% Corpus,5,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,5,symmetric,symmetric,0.40256782522834716
75% Corpus,5,asymmetric,0.01,0.40770366685795806
75% Corpus,5,asymmetric,0.31,0.41171385108110614
75% Corpus,5,asymmetric,0.61,0.4222208775445915
75% Corpus,5,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,5,asymmetric,symmetric,0.4236782333749532
75% Corpus,6,0.01,0.01,0.3875928452787535
75% Corpus,6,0.01,0.31,0.3897361043525104
75% Corpus,6,0.01,0.61,0.38004822750306233
75% Corpus,6,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,6,0.01,symmetric,0.3853036457347692
75% Corpus,6,0.31,0.01,0.39056395213441647
75% Corpus,6,0.31,0.31,0.403051685137722
75% Corpus,6,0.31,0.61,0.4081667326648743
75% Corpus,6,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,6,0.31,symmetric,0.3953590823111099
75% Corpus,6,0.61,0.01,0.43585116750719805
75% Corpus,6,0.61,0.31,0.4411559343392165
75% Corpus,6,0.61,0.61,0.42379296071095085
75% Corpus,6,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,6,0.61,symmetric,0.4326659136521993
75% Corpus,6,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,6,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,6,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,6,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,6,symmetric,0.01,0.3961562361934233
75% Corpus,6,symmetric,0.31,0.4028367221086482
75% Corpus,6,symmetric,0.61,0.3982917329307759
75% Corpus,6,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,6,symmetric,symmetric,0.40256782522834716
75% Corpus,6,asymmetric,0.01,0.40770366685795806
75% Corpus,6,asymmetric,0.31,0.41171385108110614
75% Corpus,6,asymmetric,0.61,0.4222208775445915
75% Corpus,6,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,6,asymmetric,symmetric,0.4236782333749532
75% Corpus,7,0.01,0.01,0.3875928452787535
75% Corpus,7,0.01,0.31,0.3897361043525104
75% Corpus,7,0.01,0.61,0.38004822750306233
75% Corpus,7,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,7,0.01,symmetric,0.3853036457347692
75% Corpus,7,0.31,0.01,0.39056395213441647
75% Corpus,7,0.31,0.31,0.403051685137722
75% Corpus,7,0.31,0.61,0.4081667326648743
75% Corpus,7,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,7,0.31,symmetric,0.3953590823111099
75% Corpus,7,0.61,0.01,0.43585116750719805
75% Corpus,7,0.61,0.31,0.4411559343392165
75% Corpus,7,0.61,0.61,0.42379296071095085
75% Corpus,7,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,7,0.61,symmetric,0.4326659136521993
75% Corpus,7,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,7,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,7,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,7,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,7,symmetric,0.01,0.3961562361934233
75% Corpus,7,symmetric,0.31,0.4028367221086482
75% Corpus,7,symmetric,0.61,0.3982917329307759
75% Corpus,7,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,7,symmetric,symmetric,0.40256782522834716
75% Corpus,7,asymmetric,0.01,0.40770366685795806
75% Corpus,7,asymmetric,0.31,0.41171385108110614
75% Corpus,7,asymmetric,0.61,0.4222208775445915
75% Corpus,7,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,7,asymmetric,symmetric,0.4236782333749532
75% Corpus,8,0.01,0.01,0.3875928452787535
75% Corpus,8,0.01,0.31,0.3897361043525104
75% Corpus,8,0.01,0.61,0.38004822750306233
75% Corpus,8,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,8,0.01,symmetric,0.3853036457347692
75% Corpus,8,0.31,0.01,0.39056395213441647
75% Corpus,8,0.31,0.31,0.403051685137722
75% Corpus,8,0.31,0.61,0.4081667326648743
75% Corpus,8,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,8,0.31,symmetric,0.3953590823111099
75% Corpus,8,0.61,0.01,0.43585116750719805
75% Corpus,8,0.61,0.31,0.4411559343392165
75% Corpus,8,0.61,0.61,0.42379296071095085
75% Corpus,8,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,8,0.61,symmetric,0.4326659136521993
75% Corpus,8,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,8,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,8,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,8,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,8,symmetric,0.01,0.3961562361934233
75% Corpus,8,symmetric,0.31,0.4028367221086482
75% Corpus,8,symmetric,0.61,0.3982917329307759
75% Corpus,8,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,8,symmetric,symmetric,0.40256782522834716
75% Corpus,8,asymmetric,0.01,0.40770366685795806
75% Corpus,8,asymmetric,0.31,0.41171385108110614
75% Corpus,8,asymmetric,0.61,0.4222208775445915
75% Corpus,8,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,8,asymmetric,symmetric,0.4236782333749532
75% Corpus,9,0.01,0.01,0.3875928452787535
75% Corpus,9,0.01,0.31,0.3897361043525104
75% Corpus,9,0.01,0.61,0.38004822750306233
75% Corpus,9,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,9,0.01,symmetric,0.3853036457347692
75% Corpus,9,0.31,0.01,0.39056395213441647
75% Corpus,9,0.31,0.31,0.403051685137722
75% Corpus,9,0.31,0.61,0.4081667326648743
75% Corpus,9,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,9,0.31,symmetric,0.3953590823111099
75% Corpus,9,0.61,0.01,0.43585116750719805
75% Corpus,9,0.61,0.31,0.4411559343392165
75% Corpus,9,0.61,0.61,0.42379296071095085
75% Corpus,9,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,9,0.61,symmetric,0.4326659136521993
75% Corpus,9,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,9,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,9,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,9,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,9,symmetric,0.01,0.3961562361934233
75% Corpus,9,symmetric,0.31,0.4028367221086482
75% Corpus,9,symmetric,0.61,0.3982917329307759
75% Corpus,9,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,9,symmetric,symmetric,0.40256782522834716
75% Corpus,9,asymmetric,0.01,0.40770366685795806
75% Corpus,9,asymmetric,0.31,0.41171385108110614
75% Corpus,9,asymmetric,0.61,0.4222208775445915
75% Corpus,9,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,9,asymmetric,symmetric,0.4236782333749532
75% Corpus,10,0.01,0.01,0.3875928452787535
75% Corpus,10,0.01,0.31,0.3897361043525104
75% Corpus,10,0.01,0.61,0.38004822750306233
75% Corpus,10,0.01,0.9099999999999999,0.39013963010597413
75% Corpus,10,0.01,symmetric,0.3853036457347692
75% Corpus,10,0.31,0.01,0.39056395213441647
75% Corpus,10,0.31,0.31,0.403051685137722
75% Corpus,10,0.31,0.61,0.4081667326648743
75% Corpus,10,0.31,0.9099999999999999,0.4229422222541408
75% Corpus,10,0.31,symmetric,0.3953590823111099
75% Corpus,10,0.61,0.01,0.43585116750719805
75% Corpus,10,0.61,0.31,0.4411559343392165
75% Corpus,10,0.61,0.61,0.42379296071095085
75% Corpus,10,0.61,0.9099999999999999,0.41599062201739806
75% Corpus,10,0.61,symmetric,0.4326659136521993
75% Corpus,10,0.9099999999999999,0.01,0.4279061427253333
75% Corpus,10,0.9099999999999999,0.31,0.4336199139066316
75% Corpus,10,0.9099999999999999,0.61,0.4261058112631039
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4003740899114631
75% Corpus,10,0.9099999999999999,symmetric,0.4369441213697902
75% Corpus,10,symmetric,0.01,0.3961562361934233
75% Corpus,10,symmetric,0.31,0.4028367221086482
75% Corpus,10,symmetric,0.61,0.3982917329307759
75% Corpus,10,symmetric,0.9099999999999999,0.40585616837722177
75% Corpus,10,symmetric,symmetric,0.40256782522834716
75% Corpus,10,asymmetric,0.01,0.40770366685795806
75% Corpus,10,asymmetric,0.31,0.41171385108110614
75% Corpus,10,asymmetric,0.61,0.4222208775445915
75% Corpus,10,asymmetric,0.9099999999999999,0.44151329952198093
75% Corpus,10,asymmetric,symmetric,0.4236782333749532
100% Corpus,2,0.01,0.01,0.3839263860775001
100% Corpus,2,0.01,0.31,0.39024008766639473
100% Corpus,2,0.01,0.61,0.3879799721197461
100% Corpus,2,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,2,0.01,symmetric,0.3787951610095173
100% Corpus,2,0.31,0.01,0.38330884184090763
100% Corpus,2,0.31,0.31,0.38974283056224107
100% Corpus,2,0.31,0.61,0.38655583716251735
100% Corpus,2,0.31,0.9099999999999999,0.38460587538848956
100% Corpus,2,0.31,symmetric,0.38810588708390725
100% Corpus,2,0.61,0.01,0.3841236602923871
100% Corpus,2,0.61,0.31,0.39190489744373114
100% Corpus,2,0.61,0.61,0.40813627069494685
100% Corpus,2,0.61,0.9099999999999999,0.4521339279708583
100% Corpus,2,0.61,symmetric,0.3830391258382508
100% Corpus,2,0.9099999999999999,0.01,0.3984258434803814
100% Corpus,2,0.9099999999999999,0.31,0.39680751405666304
100% Corpus,2,0.9099999999999999,0.61,0.4845969450948456
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.45226076923401937
100% Corpus,2,0.9099999999999999,symmetric,0.3902587688405955
100% Corpus,2,symmetric,0.01,0.3829089896600368
100% Corpus,2,symmetric,0.31,0.37663760812854996
100% Corpus,2,symmetric,0.61,0.40191185395258505
100% Corpus,2,symmetric,0.9099999999999999,0.3918322149452192
100% Corpus,2,symmetric,symmetric,0.38655090064490427
100% Corpus,2,asymmetric,0.01,0.37890891624315426
100% Corpus,2,asymmetric,0.31,0.3608874018053666
100% Corpus,2,asymmetric,0.61,0.33904366825460774
100% Corpus,2,asymmetric,0.9099999999999999,0.3647053120920907
100% Corpus,2,asymmetric,symmetric,0.3723356790470858
100% Corpus,3,0.01,0.01,0.3839263860775001
100% Corpus,3,0.01,0.31,0.39337526225033403
100% Corpus,3,0.01,0.61,0.3879799721197461
100% Corpus,3,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,3,0.01,symmetric,0.3787951610095173
100% Corpus,3,0.31,0.01,0.38330884184090763
100% Corpus,3,0.31,0.31,0.38974283056224107
100% Corpus,3,0.31,0.61,0.38655583716251735
100% Corpus,3,0.31,0.9099999999999999,0.38460587538848956
100% Corpus,3,0.31,symmetric,0.38810588708390725
100% Corpus,3,0.61,0.01,0.3841236602923871
100% Corpus,3,0.61,0.31,0.39190489744373114
100% Corpus,3,0.61,0.61,0.40813627069494685
100% Corpus,3,0.61,0.9099999999999999,0.4521339279708583
100% Corpus,3,0.61,symmetric,0.3830391258382508
100% Corpus,3,0.9099999999999999,0.01,0.3984258434803814
100% Corpus,3,0.9099999999999999,0.31,0.39680751405666304
100% Corpus,3,0.9099999999999999,0.61,0.4845969450948456
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.45226076923401937
100% Corpus,3,0.9099999999999999,symmetric,0.3902587688405955
100% Corpus,3,symmetric,0.01,0.3829089896600368
100% Corpus,3,symmetric,0.31,0.38784507309745975
100% Corpus,3,symmetric,0.61,0.39155761666133987
100% Corpus,3,symmetric,0.9099999999999999,0.3918322149452192
100% Corpus,3,symmetric,symmetric,0.38655090064490427
100% Corpus,3,asymmetric,0.01,0.37890891624315426
100% Corpus,3,asymmetric,0.31,0.3608874018053666
100% Corpus,3,asymmetric,0.61,0.33904366825460774
100% Corpus,3,asymmetric,0.9099999999999999,0.36150885007910555
100% Corpus,3,asymmetric,symmetric,0.3723356790470858
100% Corpus,4,0.01,0.01,0.3839263860775001
100% Corpus,4,0.01,0.31,0.39024008766639473
100% Corpus,4,0.01,0.61,0.3879799721197461
100% Corpus,4,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,4,0.01,symmetric,0.3787951610095173
100% Corpus,4,0.31,0.01,0.38330884184090763
100% Corpus,4,0.31,0.31,0.38974283056224107
100% Corpus,4,0.31,0.61,0.38655583716251735
100% Corpus,4,0.31,0.9099999999999999,0.38460587538848956
100% Corpus,4,0.31,symmetric,0.38810588708390725
100% Corpus,4,0.61,0.01,0.3841236602923871
100% Corpus,4,0.61,0.31,0.39190489744373114
100% Corpus,4,0.61,0.61,0.40813627069494685
100% Corpus,4,0.61,0.9099999999999999,0.4521339279708583
100% Corpus,4,0.61,symmetric,0.3830391258382508
100% Corpus,4,0.9099999999999999,0.01,0.3984258434803814
100% Corpus,4,0.9099999999999999,0.31,0.39680751405666304
100% Corpus,4,0.9099999999999999,0.61,0.4845969450948456
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.45226076923401937
100% Corpus,4,0.9099999999999999,symmetric,0.3902587688405955
100% Corpus,4,symmetric,0.01,0.3829089896600368
100% Corpus,4,symmetric,0.31,0.37663760812854996
100% Corpus,4,symmetric,0.61,0.39155761666133987
100% Corpus,4,symmetric,0.9099999999999999,0.3918322149452192
100% Corpus,4,symmetric,symmetric,0.38655090064490427
100% Corpus,4,asymmetric,0.01,0.37890891624315426
100% Corpus,4,asymmetric,0.31,0.3944320417550612
100% Corpus,4,asymmetric,0.61,0.33904366825460774
100% Corpus,4,asymmetric,0.9099999999999999,0.36150885007910555
100% Corpus,4,asymmetric,symmetric,0.3723356790470858
100% Corpus,5,0.01,0.01,0.3839263860775001
100% Corpus,5,0.01,0.31,0.39024008766639473
100% Corpus,5,0.01,0.61,0.4015947507169508
100% Corpus,5,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,5,0.01,symmetric,0.3787951610095173
100% Corpus,5,0.31,0.01,0.38330884184090763
100% Corpus,5,0.31,0.31,0.38974283056224107
100% Corpus,5,0.31,0.61,0.38655583716251735
100% Corpus,5,0.31,0.9099999999999999,0.38460587538848956
100% Corpus,5,0.31,symmetric,0.38810588708390725
100% Corpus,5,0.61,0.01,0.3841236602923871
100% Corpus,5,0.61,0.31,0.39190489744373114
100% Corpus,5,0.61,0.61,0.40813627069494685
100% Corpus,5,0.61,0.9099999999999999,0.4521339279708583
100% Corpus,5,0.61,symmetric,0.3830391258382508
100% Corpus,5,0.9099999999999999,0.01,0.3984258434803814
100% Corpus,5,0.9099999999999999,0.31,0.39680751405666304
100% Corpus,5,0.9099999999999999,0.61,0.4845969450948456
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.45226076923401937
100% Corpus,5,0.9099999999999999,symmetric,0.3902587688405955
100% Corpus,5,symmetric,0.01,0.3829089896600368
100% Corpus,5,symmetric,0.31,0.37663760812854996
100% Corpus,5,symmetric,0.61,0.39155761666133987
100% Corpus,5,symmetric,0.9099999999999999,0.3918322149452192
100% Corpus,5,symmetric,symmetric,0.38655090064490427
100% Corpus,5,asymmetric,0.01,0.37890891624315426
100% Corpus,5,asymmetric,0.31,0.3608874018053666
100% Corpus,5,asymmetric,0.61,0.33904366825460774
100% Corpus,5,asymmetric,0.9099999999999999,0.36150885007910555
100% Corpus,5,asymmetric,symmetric,0.3723356790470858
100% Corpus,6,0.01,0.01,0.3839263860775001
100% Corpus,6,0.01,0.31,0.39024008766639473
100% Corpus,6,0.01,0.61,0.3879799721197461
100% Corpus,6,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,6,0.01,symmetric,0.38249214538139364
100% Corpus,6,0.31,0.01,0.3750427097432045
100% Corpus,6,0.31,0.31,0.38974283056224107
100% Corpus,6,0.31,0.61,0.38655583716251735
100% Corpus,6,0.31,0.9099999999999999,0.38460587538848956
100% Corpus,6,0.31,symmetric,0.38810588708390725
100% Corpus,6,0.61,0.01,0.3841236602923871
100% Corpus,6,0.61,0.31,0.39190489744373114
100% Corpus,6,0.61,0.61,0.40813627069494685
100% Corpus,6,0.61,0.9099999999999999,0.4521339279708583
100% Corpus,6,0.61,symmetric,0.3830391258382508
100% Corpus,6,0.9099999999999999,0.01,0.3984258434803814
100% Corpus,6,0.9099999999999999,0.31,0.39680751405666304
100% Corpus,6,0.9099999999999999,0.61,0.4845969450948456
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.45226076923401937
100% Corpus,6,0.9099999999999999,symmetric,0.3902587688405955
100% Corpus,6,symmetric,0.01,0.3829089896600368
100% Corpus,6,symmetric,0.31,0.37663760812854996
100% Corpus,6,symmetric,0.61,0.39155761666133987
100% Corpus,6,symmetric,0.9099999999999999,0.3918322149452192
100% Corpus,6,symmetric,symmetric,0.38655090064490427
100% Corpus,6,asymmetric,0.01,0.37890891624315426
100% Corpus,6,asymmetric,0.31,0.3608874018053666
100% Corpus,6,asymmetric,0.61,0.33904366825460774
100% Corpus,6,asymmetric,0.9099999999999999,0.36150885007910555
100% Corpus,6,asymmetric,symmetric,0.3723356790470858
100% Corpus,7,0.01,0.01,0.3839263860775001
100% Corpus,7,0.01,0.31,0.39024008766639473
100% Corpus,7,0.01,0.61,0.3879799721197461
100% Corpus,7,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,7,0.01,symmetric,0.3787951610095173
100% Corpus,7,0.31,0.01,0.3828332350459997
100% Corpus,7,0.31,0.31,0.38974283056224107
100% Corpus,7,0.31,0.61,0.38655583716251735
100% Corpus,7,0.31,0.9099999999999999,0.38460587538848956
100% Corpus,7,0.31,symmetric,0.38810588708390725
100% Corpus,7,0.61,0.01,0.3841236602923871
100% Corpus,7,0.61,0.31,0.39190489744373114
100% Corpus,7,0.61,0.61,0.40813627069494685
100% Corpus,7,0.61,0.9099999999999999,0.4521339279708583
100% Corpus,7,0.61,symmetric,0.3830391258382508
100% Corpus,7,0.9099999999999999,0.01,0.3984258434803814
100% Corpus,7,0.9099999999999999,0.31,0.39680751405666304
100% Corpus,7,0.9099999999999999,0.61,0.4845969450948456
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.45226076923401937
100% Corpus,7,0.9099999999999999,symmetric,0.3902587688405955
100% Corpus,7,symmetric,0.01,0.3829089896600368
100% Corpus,7,symmetric,0.31,0.37663760812854996
100% Corpus,7,symmetric,0.61,0.39155761666133987
100% Corpus,7,symmetric,0.9099999999999999,0.3918322149452192
100% Corpus,7,symmetric,symmetric,0.38655090064490427
100% Corpus,7,asymmetric,0.01,0.37890891624315426
100% Corpus,7,asymmetric,0.31,0.3608874018053666
100% Corpus,7,asymmetric,0.61,0.33904366825460774
100% Corpus,7,asymmetric,0.9099999999999999,0.36150885007910555
100% Corpus,7,asymmetric,symmetric,0.3723356790470858
100% Corpus,8,0.01,0.01,0.3839263860775001
100% Corpus,8,0.01,0.31,0.39024008766639473
100% Corpus,8,0.01,0.61,0.3879799721197461
100% Corpus,8,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,8,0.01,symmetric,0.3787951610095173
100% Corpus,8,0.31,0.01,0.38330884184090763
100% Corpus,8,0.31,0.31,0.38974283056224107
100% Corpus,8,0.31,0.61,0.38655583716251735
100% Corpus,8,0.31,0.9099999999999999,0.38460587538848956
100% Corpus,8,0.31,symmetric,0.38810588708390725
100% Corpus,8,0.61,0.01,0.3841236602923871
100% Corpus,8,0.61,0.31,0.39190489744373114
100% Corpus,8,0.61,0.61,0.40813627069494685
100% Corpus,8,0.61,0.9099999999999999,0.4521339279708583
100% Corpus,8,0.61,symmetric,0.3830391258382508
100% Corpus,8,0.9099999999999999,0.01,0.3984258434803814
100% Corpus,8,0.9099999999999999,0.31,0.39680751405666304
100% Corpus,8,0.9099999999999999,0.61,0.4845969450948456
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.45226076923401937
100% Corpus,8,0.9099999999999999,symmetric,0.3902587688405955
100% Corpus,8,symmetric,0.01,0.3829089896600368
100% Corpus,8,symmetric,0.31,0.37663760812854996
100% Corpus,8,symmetric,0.61,0.39155761666133987
100% Corpus,8,symmetric,0.9099999999999999,0.3918322149452192
100% Corpus,8,symmetric,symmetric,0.38655090064490427
100% Corpus,8,asymmetric,0.01,0.37890891624315426
100% Corpus,8,asymmetric,0.31,0.3608874018053666
100% Corpus,8,asymmetric,0.61,0.33904366825460774
100% Corpus,8,asymmetric,0.9099999999999999,0.36150885007910555
100% Corpus,8,asymmetric,symmetric,0.3938071492903376
100% Corpus,9,0.01,0.01,0.3839263860775001
100% Corpus,9,0.01,0.31,0.39024008766639473
100% Corpus,9,0.01,0.61,0.3879799721197461
100% Corpus,9,0.01,0.9099999999999999,0.3881191400871616
100% Corpus,9,0.01,symmetric,0.3787951610095173
100% Corpus,9,0.31,0.01,0.38330884184090763
100% Corpus,9,0.31,0.31,0.38974283056224107
100% Corpus,9,0.31,0.61,0.38655583716251735
100% Corpus,9,0.31,0.9099999999999999,0.38460587538848956
